"Feature","Gain","Cover","Frequency"
"o_Def2_rec_3",0.00415403468259061,0.0062049437900412,0.00694470268863188
"dir_Def1_rec_4",0.00413848001231402,0.00653928147149021,0.00625674017329218
"dir_Def2_rec_1",0.00412447893185633,0.00553626151921407,0.00762336841322375
"dir_Def1_rec_3",0.00410493019440533,0.00600360658674846,0.00721430962031907
"s_Def2_rec_2",0.00407407138345602,0.00457616935244569,0.00683314119965788
"dir_Def3_rec_2",0.00404175096498283,0.00427483630074029,0.00669368933844037
"y_Def3_rec_2",0.00398754184424051,0.00560852761602205,0.0071678256665799
"dir_Def2_rec_2",0.00387627626790535,0.00505726222965816,0.00665650217544904
"s_Def3_rec_2",0.00367314790087884,0.00483953691335274,0.00673087650143171
"dir_Def3_rec_1",0.00346813646787103,0.00502270854409623,0.00639619203450969
"x_rec_3",0.00279020621824995,0.00672506412504241,0.00468558253690826
"x_rec_2",0.00232791744929352,0.00675575709938771,0.00440667881447324
"x_Def3_rec_2",0.00222463852783333,0.00335305673551085,0.00329106392473318
"x_Def3_rec_4",0.0022138839474048,0.00356216145288591,0.00358856122866387
"x_Def3_rec_5",0.00220760633749762,0.00356104826184926,0.00369082592689004
"x_Def3_rec_3",0.00219502010472479,0.00332595617118602,0.00343981257669852
"x_Def2_rec_4",0.00209883352074005,0.00474168917487167,0.0036257483916552
"x_Def1_rec_1",0.00208195856255068,0.00503439094320856,0.00319809601725484
"x_Def2_rec_1",0.00206533792055338,0.00444401538913827,0.00356067085642036
"x_rec_1",0.00200346583470954,0.00423563710703444,0.00338403183221152
"x_rec_5",0.00195765895380745,0.00299353209532156,0.00290989550407199
"x_Def2_rec_2",0.00190825219178403,0.00399241185383238,0.00273325647986315
"x_Def3_rec_1",0.00180188333932494,0.00303862230476329,0.003077237737533
"x_rec_4",0.00175407842817981,0.00577541812332345,0.00330036071548102
"x_Def1_rec_3",0.0016762597280971,0.00387683223366584,0.00300286341155033
"x_Def2_rec_5",0.00166120409034587,0.00202854425927688,0.00290989550407199
"x_Def2_rec_3",0.00165095601967719,0.00332474048222634,0.00277974043360232
"x_Def1_rec_2",0.00157289347120853,0.00314950737364068,0.00251013350191514
"x_Def1_rec_5",0.00147870252510992,0.0031487076403274,0.00291919229481983
"QB_x_rec_1",0.00144844386660801,0.00332340833331462,0.00251943029266297
"x_Def1_rec_4",0.00140663999878177,0.00311038680571861,0.00263099178163698
"pass_x_rec_1",0.00112255191841813,0.00251451014880566,0.00216615224424529
